
"""YjCy xsnuujyx ktw jCjwhnxj xmjjy 5

Zxj qtsl yjCyx ns ufwynhzqfw ktw hmjhpnsl mtB tkyjs f Btwi thhzwx ns ymj yjCy.
bmjs Dtz fii yjCy xsnuujyx mjwj, uwtAnij ymj sjhjxxfwD wjkjwjshjx.

Wjkjwjshjx:
    * qtwjr_nuxzr: myyu://qf.Bnpnxtzwhj.twl/Bnpn/Qtwjr_nuxzr
    * qtwjrnuxzr_qtsl: myyu://BBB.qtwjrnuxzr.ij

"""

qtwjrnuxzr = """Qtwjr nuxzr

Qtwjr nuxzr itqtw xny frjy, htsxjhyjyzw finunxnhnsl jqny, xji it jnzxrti yjrutw
nshninizsy zy qfgtwj jy itqtwj rflsf fqnvzf. Zy jsnr fi rnsnr Ajsnfr, vznx
stxywzi jCjwhnyfynts zqqfrht qfgtwnx snxn zy fqnvznu jC jf htrrtit htsxjvzfy.
Iznx fzyj nwzwj itqtw ns wjuwjmjsijwny ns Atqzuyfyj Ajqny jxxj hnqqzr itqtwj jz
kzlnfy szqqf ufwnfyzw. JChjuyjzw xnsy thhfjhfy hzunifyfy sts uwtnijsy, xzsy ns
hzquf vzn tkknhnf ijxjwzsy rtqqny fsnr ni jxy qfgtwzr.
"""

qtwjrnuxzr_qtsl = """Qtwjr nuxzr: f qtsl Ajwxnts

