variant,ncores,matrixname,nchromosomes,usertime,systemtime,elapsedtime,computetime,maxresident,avgresident,majorpagefaults,minorpagefaults,volcontextswitches,involcontextswitches,fsin,fsout
ICE,1,25kb_raw.h5,25,2092.34,358.54,1592.18,,89799492,0,243,102605454,130080,7538,2377432,12403080
KR,1,25kb_raw.h5,25,2064.79,2176.76,4259,,112704528,0,0,765103846,133,65073,0,12299760
ICE,1,50kb_raw.h5,25,1131.84,223.88,917.24,,69222404,0,0,75229003,77763,166811,0,8387344
KR,1,50kb_raw.h5,25,1212.76,1301.80,2511.13,,77617848,0,0,508043721,232,71431,0,8332152
R_1,1,25kb_raw.h5,25,2786.11,860.98,3663,2367.2943563461304,118630184,0,0,207935110,125,162198,0,12422832
R_2,2,25kb_raw.h5,25,4171.59,1365.97,4457,3133.1377398967743,118630052,0,0,207935498,15447201,334117,0,12422840
R_4,4,25kb_raw.h5,25,4854.69,1979.31,4009,2719.9517006874084,118630100,0,0,207935366,27724830,120567,0,12422840
R_6,6,25kb_raw.h5,25,6294.60,2792.16,3817,2583.823239803314,118629400,0,0,207935269,40235329,166201,0,12422656
R_8,8,25kb_raw.h5,25,9113.42,3869.92,4554,2957.284893512726,118630360,0,0,207935463,38950225,255969,0,12422568
R_12,12,25kb_raw.h5,25,14551.90,4994.25,4175,2895.3709280490875,118630156,0,0,207935491,27902343,813500,0,12422840
R_16,16,25kb_raw.h5,25,21499.85,5996.84,4271,2886.3366734981537,118630268,0,0,207935875,21415029,448549,0,12422808
R_20,20,25kb_raw.h5,25,28139.37,6619.18,4596,2931.9494347572327,118630264,0,0,207935135,17083338,871514,0,12422568
R_24,24,25kb_raw.h5,25,35373.80,6957.30,4509,3042.802283525467,118630672,0,0,207935641,14582300,1154333,0,12422936
R_28,28,25kb_raw.h5,25,43932.16,7323.27,4321,2997.8370628356934,118629972,0,0,207935783,12897401,1448865,0,12422840
R_32,32,25kb_raw.h5,25,59902.10,8643.46,4927,3541.7005338668823,118630568,0,0,207935742,12583080,312776615,0,12422928
R_1,1,50kb_raw.h5,25,1401.35,507.97,1917.16,1185.6039152145386,81692440,0,0,143094563,111,369822,0,8387960
R_2,2,50kb_raw.h5,25,1895.15,696.27,2181.14,1416.297848701477,81691944,0,0,143094464,7567905,83840,0,8388520
R_4,4,50kb_raw.h5,25,2277.49,972.03,2085.84,1348.4615569114685,81692492,0,0,143094450,13738977,197823,0,8388760
R_6,6,50kb_raw.h5,25,2937.99,1325.30,2027.13,1310.1002876758575,81692696,0,0,143094314,15218186,101885,0,8388640
R_8,8,50kb_raw.h5,25,3942.95,1642.75,2142.76,1385.2147228717804,81692604,0,0,143094619,13271884,172179,0,8388208
R_12,12,50kb_raw.h5,25,5770.25,2029.95,2041.18,1296.4384202957153,81692212,0,0,143094873,8618278,381095,0,8388752
R_16,16,50kb_raw.h5,25,8640.43,2457.99,2289.99,1441.9321262836456,81691988,0,0,143094829,7574076,387938,0,8388224
R_20,20,50kb_raw.h5,25,11285.48,2631.29,2244.79,1466.8585200309753,81692768,0,0,143094839,6443112,719233,0,8388280
R_24,24,50kb_raw.h5,25,14274.16,2958.62,2392.59,1498.970355272293,81692744,0,0,143095097,5718840,646108,0,8388344
R_28,28,50kb_raw.h5,25,17236.59,2980.19,2201.43,1441.0675563812256,81692780,0,0,143094771,5209100,691344,0,8389008
R_32,32,50kb_raw.h5,25,23370.00,3556.20,2514.63,1619.0944030284882,81692752,0,0,143095347,4781885,105454898,0,8388456
